,BRANCH,2.8.1,2.9.1,4.2.1,4.2.2,4.2.3,4.5.1,4.6.1,4.6.2,4.6.3,5.3.1,5.4.1,5.4.2,5.4.3,5.5.1,5.6.1,6.2.1,6.3.1,6.4.1,6.4.3,6.4.4,6.5.1,6.5.2,7.2.3,9.3.1,9.4.1,9.4.2,9.4.3,9.5.1,9.5.2,9.5.2.1,9.6.1,10.3.1,10.3.2,10.5.1,12.1.1,cluster
0,Bayside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Caboolture Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Caloundra,0,0,0,0,0,0,-1,0,1,1,1,1,0,0,-1,1,1,0,0,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1
3,Far North Qld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Gold Coast,1,1,0,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,0,2
5,Greenslopes,1,1,1,1,1,1,-1,-1,-1,0,1,1,0,0,0,1,1,0,1,0,1,-1,1,-1,1,0,1,1,0,1,0,0,0,1,0,0
6,Ipswich/Lockyer,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,1,0,1,0,0
7,Keppel,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,0,1,0,1,1,1,0,1,0,2
8,Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Maiwar,1,1,1,1,1,1,0,0,-1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,-1,-1,1,1,1,1,0,1,1,0,0
10,Maleny,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,1,1,-1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
11,Sunshine Coast - Maroochy,1,1,1,1,1,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,-1,1,0,1,0,0
12,Mount Coot-tha,1,1,1,1,1,1,-1,-1,-1,1,1,1,0,0,-1,0,1,0,0,0,0,0,1,-1,1,-1,0,1,0,-1,1,0,0,1,-1,0
13,Noosa & Hinterland/Wide Bay,1,1,1,1,1,1,-1,-1,-1,1,0,0,1,0,-1,1,0,-1,0,0,-1,0,1,-1,1,-1,0,-1,0,-1,0,1,0,1,0,0
14,North Brisbane,1,1,1,1,1,1,0,0,0,-1,-1,-1,1,1,0,0,1,0,0,1,1,-1,1,1,0,1,-1,-1,0,-1,-1,0,1,0,1,2
15,North Pine,1,1,1,1,1,1,-1,-1,-1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0
16,Pine Rivers,1,1,1,1,1,1,-1,-1,-1,1,0,0,1,-1,-1,1,1,1,1,0,1,-1,1,-1,1,0,1,1,0,1,1,0,0,1,0,0
17,Redlands,1,1,1,1,1,1,-1,-1,0,1,1,0,0,1,1,1,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Sandgate,1,1,1,1,1,1,-1,-1,0,1,1,1,0,0,1,1,0,1,1,0,-1,0,1,0,1,-1,0,1,0,0,1,0,0,1,0,0
19,Scenic Rim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,South Brisbane,1,1,1,1,1,1,-1,-1,-1,1,0,0,1,0,0,0,1,-1,0,0,0,0,1,-1,1,-1,0,1,0,1,-1,0,0,1,0,0
21,South West Brisbane,1,1,1,0,0,1,-1,-1,1,0,0,0,0,0,0,0,1,-1,0,0,1,-1,1,1,0,0,0,-1,0,0,-1,0,0,1,0,1
22,Tablelands & Northern Qld,1,1,1,1,1,1,-1,0,-1,1,1,0,0,-1,-1,1,1,-1,1,0,0,0,1,-1,1,-1,0,1,1,0,1,1,1,1,0,0
23,Toowoomba & Western Qld,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Top End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Townsville,1,1,1,1,1,1,1,1,1,-1,-1,0,0,1,1,0,1,1,1,1,1,-1,0,1,1,1,0,1,0,1,-1,1,0,1,1,2
26,West Brisbane,0,0,0,0,0,1,1,0,1,-1,0,0,0,1,0,-1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,-1,1,0,1,1,2
27,Yeerongpilly,1,1,1,1,1,1,-1,-1,0,1,1,1,-1,-1,-1,1,0,1,0,1,-1,-1,1,-1,1,-1,1,0,0,1,-1,0,0,1,-1,0
